事業所名称,事業所郵便番号,事業所所在地
てあてるの芽大阪港,552-0021,大阪府大阪市港区築港三丁目５番５号　フホーハイツ１０１
ｃｈｉｌｄ　ｈａｎｄｓ　大阪,552-0021,大阪府大阪市港区築港三丁目６番１０号　１０５、１０６号
リハルーム,552-0023,大阪府大阪市港区港晴三丁目１番５号　港晴デイズハウス２０１
ワンスタット港晴,552-0023,大阪府大阪市港区港晴四丁目１番２号　４号棟　Ａ・Ｂ
児童発達支援・放課後等デイサービス　ＣｏｃｏＣｏｌｏｒ,552-0023,大阪府大阪市港区港晴四丁目１４番１６号
児童発達支援・放課後等デイサービス　ＣｏｃｏＣｒｅｗ,552-0023,大阪府大阪市港区港晴一丁目１０番２０号
心音,551-0001,大阪府大阪市大正区三軒家西三丁目５番９号　サンパレス大正１階　１０１号
放課後等デイサービスあおぞら大正,551-0002,大阪府大阪市大正区三軒家東四丁目１２番１３号
児童発達支援・放課後等デイサービス　れいんぼうキャンパス,551-0002,大阪府大阪市大正区三軒家東二丁目２番１８号　岩本ビル２階
そらいろチョコちしま,551-0003,大阪府大阪市大正区千島三丁目１１番１３号　グリタビル５階
めだか千島団地,551-0003,大阪府大阪市大正区千島二丁目４番　千島団地３号棟１階
めだかＮＥＯ,551-0003,大阪府大阪市大正区千島二丁目２番２２号　パナソニックリフォームセンターＢ棟
ＰＩＳＥ大正,551-0003,大阪府大阪市大正区千島三丁目１３番２０号　シェール千島３０２
ハッピーライフたいしょう,551-0012,大阪府大阪市大正区平尾四丁目２３番１１号　平和マンション１階
チェリッシュ,551-0012,大阪府大阪市大正区平尾五丁目３番２２号
ことり,551-0012,大阪府大阪市大正区平尾二丁目８番３号
きぼうの虹,551-0012,大阪府大阪市大正区平尾三丁目１４番１４号１Ｆ
児童発達支援・放課後等デイサービス　ｉｐｐｏ,551-0012,大阪府大阪市大正区平尾五丁目１８番１３号　１階
かたぐるま　大正,551-0021,大阪府大阪市大正区南恩加島三丁目１８番１２号
児童発達支援・放課後等デイサービス　ホープ,551-0023,大阪府大阪市大正区鶴町二丁目１１番４号　エルテール鶴町１０１
わくわくエジソン　大正教室,551-0031,大阪府大阪市大正区泉尾三丁目７番１７号　西田ビル２０２号室
ガッチャスマイルたいしょう,551-0031,大阪府大阪市大正区泉尾二丁目１４番７号　Ｋ－ＦＩＲＳＴビル２階
ずっと,551-0031,大阪府大阪市大正区泉尾二丁目１５番３号　サンコー第８ハイツ１０２号
マードレ,551-0032,大阪府大阪市大正区北村一丁目１７番１１号
Ｇｒｅｅｎ　Ｆｅｅｌ　上本町,543-0001,大阪府大阪市天王寺区上本町七丁目３番７号　ハーティー上本町２０５号
ｂｏｎキッズ谷町,543-0001,大阪府大阪市天王寺区上本町三丁目５番２１号　小畑第２ビル４０３号室４０１号室
はぴステージ,543-0001,大阪府大阪市天王寺区上本町九丁目６番１２号　レジデンスウエストアロウ夕陽丘１０２号室
Ｂｉａｎｃａ,543-0001,大阪府大阪市天王寺区上本町三丁目３番７号　上本町延三ビル２階
ウキウキさくらんぼ,543-0001,大阪府大阪市天王寺区上本町八丁目７番８号　３階
ＭｙＳｔｅｐジュニア　谷六教室,543-0001,大阪府大阪市天王寺区上本町一丁目１番１号　ヤブモトビル２０Ｎ号室
ｓｕｂａｃｏ　ｓｐｅｅｃｈ,543-0002,大阪府大阪市天王寺区上汐三丁目５番２４号　上汐泉本ビル２０１号室
Ａｍｅｌｉａ,543-0002,大阪府大阪市天王寺区上汐三丁目８番４号　プラスビル１１４．１１５号
ｇｒｏｗのおと　上本町教室,543-0011,大阪府大阪市天王寺区清水谷町１６番２３号　江見マンション１Ｆ
こどものえきＨＯＭＡＲＥ　さくら,543-0012,大阪府大阪市天王寺区空堀町１５番２１号
児童デイサービス　ハピネス,543-0013,大阪府大阪市天王寺区玉造本町６番１７号　末広ハイツ真田山１階１０１号室
児童発達支援　ひだまり,543-0014,大阪府大阪市天王寺区玉造元町７番５号
ミライエきっず真田山,543-0016,大阪府大阪市天王寺区餌差町２番２４号　ナカニシ美術ビル２０１号室
あけぼの園,543-0017,大阪府大阪市天王寺区城南寺町２番２１号　河野ビル２０２号
フォレスト,543-0017,大阪府大阪市天王寺区城南寺町５番３５号　ＨＮビル
エミット上本町,543-0021,大阪府大阪市天王寺区東高津町１番９号
２．Ｍｉｒａｃｌｅｓ,543-0028,大阪府大阪市天王寺区小橋町１３番５号　小橋ＴＳＣ財法ビルⅣ７０２
児童発達支援・放課後等デイサービス　ソレイユ,543-0031,大阪府大阪市天王寺区石ケ辻町２番８号　１０１号室
ｗｅｌｆａｒｅ天王寺堂ヶ芝,543-0033,大阪府大阪市天王寺区堂ケ芝一丁目４番１７号　ヴォーヌング堂ヶ芝１０１号室
のぞみん,543-0033,大阪府大阪市天王寺区堂ケ芝二丁目１２番５－１０４号
おおきな木　真法院町,543-0041,大阪府大阪市天王寺区真法院町１７番２４号　真法院ビル３Ｆ
児童発達支援・放課後等デイサービス　ゆうしん,543-0044,大阪府大阪市天王寺区国分町４－１　松浦ビル３０１
ＴＡＫＵＭＩ天王寺,543-0044,大阪府大阪市天王寺区国分町１９番４号　寺田町クリニックビル　３階Ｆ
児童発達支援はぐみぃープラス,543-0045,大阪府大阪市天王寺区寺田町二丁目３番９号　寺田町プレイス１　１階
児童発達支援　放課後等デイサービス　Ｂｅｒｒｙ　ｌａｎｇｕａｇｅ　ａｃａｄｅｍｙ,543-0051,大阪府大阪市天王寺区四天王寺一丁目１２番２４号　福並ビル１階・２階
児童発達支援　放課後等デイサービス　Ｂｅｒｒｙ　Ｊｏｉｎ,543-0052,大阪府大阪市天王寺区大道四丁目９番４号　エスタピア寺田町１階
大阪ＹＭＣＡサポートキッズ,543-0054,大阪府大阪市天王寺区南河堀町９番５２号
芸術の未来塾,543-0062,大阪府大阪市天王寺区逢阪二丁目１番２号　天王寺漢方ビル３階
コペルプラス天王寺教室,543-0063,大阪府大阪市天王寺区茶臼山町１番１８号　天王寺エルムビル４階
ｓｕｂａｃｏ,543-0071,大阪府大阪市天王寺区生玉町１１番２８号　コレカ日本橋ビル７階
ｓｕｂａｃｏ　ｓｔｕｄｙ,543-0071,大阪府大阪市天王寺区生玉町１１番２９号　朝日プラザ高津Ⅰオフィスプラザ２０１号室
児童デイサービス　チットチャット・スポーツ塾　２号店,543-0071,大阪府大阪市天王寺区生玉町２番３号　小出ビル１０８号室
ジョイハウス,543-0071,大阪府大阪市天王寺区生玉町２番３号　小出ビル１０１号室
放課後ｇｒｏｗのおと　谷町教室,543-0071,大阪府大阪市天王寺区生玉町２番１０号　戎フルール谷九１Ｆ
ｓｕｂａｃｏ　ｓｗｉｔｃｈ,543-0072,大阪府大阪市天王寺区生玉前町１番２６号　情報センタービル２０１号
テトラｃｏｃｏアニー谷町,543-0072,大阪府大阪市天王寺区生玉前町１番１７号　イトーピア谷町ビル１０階
児童デイサービスアップル,543-0073,大阪府大阪市天王寺区生玉寺町４番３５号
児童発達支援・放課後等デイサービス　スマイル　夕陽丘店,543-0074,大阪府大阪市天王寺区六万体町１番５号　エーリ夕陽丘１階
児童発達支援・放課後等デイサービス　バディ,556-0001,大阪府大阪市浪速区下寺二丁目４番１３号
オハナピース大阪日本橋,556-0005,大阪府大阪市浪速区日本橋五丁目１３番３号　川北ビル７階
オハナピース恵美須町,556-0005,大阪府大阪市浪速区日本橋五丁目１２番９号
ＯＮＥ　ＤＡＹ　日本橋,556-0006,大阪府大阪市浪速区日本橋東一丁目１番１１号
児童発達支援　スマイル　なんば店,556-0012,大阪府大阪市浪速区敷津東二丁目１番２４号　なんばグランドマスターズタワー２０１号
児童発達支援・放課後等デイサービス　フリールーム新今宮,556-0013,大阪府大阪市浪速区戎本町二丁目４番３号　プライムハイツ１０５号
ＩＬＩＳ　ＣＬＵＢ　浪速,556-0014,大阪府大阪市浪速区大国二丁目１２番１８号　１階
放課後等デイサービス　Ｆｕｎ　Ｆｕｎ,556-0014,大阪府大阪市浪速区大国一丁目３番２号　ジョイ歯科クリニックビル２Ｆ
えがお　浪速区店,556-0014,大阪府大阪市浪速区大国三丁目９番１７号　グランデＳＨⅡ１階
レオ放課後等デイサービス,556-0015,大阪府大阪市浪速区敷津西二丁目１２番２号　メゾンアクティ１０１号
えにし,556-0015,大阪府大阪市浪速区敷津西二丁目１番２６号　タイホウハイツ敷津３番館１階
ｎａｒｅｌｕなんば,556-0016,大阪府大阪市浪速区元町一丁目７番２４－３階
児童発達支援・放課後等デイサービス　フリースタイル難波元町,556-0016,大阪府大阪市浪速区元町三丁目３番２０号　堀賢ビル２階
じょいふるすぺーす　桜川教室,556-0022,大阪府大阪市浪速区桜川二丁目９番１３　桜川パークマンション２０１号
ワンスタット桜川,556-0022,大阪府大阪市浪速区桜川四丁目４番１０号　ニューグランドビル１階
アイビー,556-0022,大阪府大阪市浪速区桜川四丁目４番１０号　ニューグランドビル２Ｆ
はち,556-0023,大阪府大阪市浪速区稲荷一丁目５番４１号　港町ビル２階　２０１号室
アトムなにわ放課後等デイサービス,556-0024,大阪府大阪市浪速区塩草三丁目１０番１７号　竹村ビル２階
アトム,556-0024,大阪府大阪市浪速区塩草三丁目１０番１７号　竹村ビル２階
アトム　塩草教室,556-0024,大阪府大阪市浪速区塩草三丁目９番１３号　１階
きりんのあくび　ｋｉｄｓ　なんば,556-0025,大阪府大阪市浪速区浪速東三丁目１２番１８号
社会福祉法人スワンなにわ　ゆめっち,556-0026,大阪府大阪市浪速区浪速西二丁目１１番６号
なちゅらる教室,555-0011,大阪府大阪市西淀川区竹島三丁目３番３３号　カーサグランデ竹島１階
児童発達支援・放課後等デイサービス育　御幣島教室,555-0012,大阪府大阪市西淀川区御幣島一丁目１番８号　カワバタビル１Ｆ
こんぺいとう,555-0012,大阪府大阪市西淀川区御幣島六丁目１１番４６号　御幣島グリーンマンション１１２
さんさんくらぶ,555-0012,大阪府大阪市西淀川区御幣島六丁目１１番４６－１０７．１０８号
児童デイサービスたんぽぽ,555-0013,大阪府大阪市西淀川区千舟三丁目９番３１号
ＬＯＡ・そーる,555-0021,大阪府大阪市西淀川区歌島二丁目２番１２号　２階
エスポワール西淀川,555-0022,大阪府大阪市西淀川区柏里二丁目２番７号　亀山ハイツ１階
放課後等デイサービス・スマイル西淀,555-0024,大阪府大阪市西淀川区野里二丁目２番４号　若葉野里ビル３Ｆ
みぃすけっと,555-0024,大阪府大阪市西淀川区野里一丁目３０番２１号　メゾン白百合１０１号室
西淀川発達支援センターたんぽぽ,555-0024,大阪府大阪市西淀川区野里三丁目６番１２号
児童発達支援・放課後等デイサービス　いろは,555-0025,大阪府大阪市西淀川区姫里二丁目１番６号　ＪＰ姫里レジデンス１階
児童発達支援　放課後等デイサービスＣｏｌｏｒｆｕｌ　Ｋｉｄｓ　Ｓｅｃｏｎｄ,555-0025,大阪府大阪市西淀川区姫里二丁目１０番４号　ＲＯＹＡＬ　ＢＬＤＧ　２Ｆ
ｋｉｄｓ　ｆｉｒｓｔあいあい　大和田,555-0032,大阪府大阪市西淀川区大和田三丁目８番１７号　グランピア千船１階
ＯＺデイにしよど,555-0032,大阪府大阪市西淀川区大和田五丁目１番４号
Ｐｌｕｓ＋ｄａｙｓ西淀川大野校,555-0043,大阪府大阪市西淀川区大野三丁目１番２１号
就労準備型放課後デイサービス　Ｂｅ　Ｓｍｉｌｅ　Ｍａｓｔｅｒｓ,532-0002,大阪府大阪市淀川区東三国一丁目３２番９号　　アルシュ２４０　６０１
児童発達支援・放課後デイサービス　アリス,532-0002,大阪府大阪市淀川区東三国一丁目５番２３号
児童発達支援・放課後デイサービス　アリスキッズ,532-0002,大阪府大阪市淀川区東三国三丁目１番２１号
Ｏｎｅ　ｓｔｅｐ　ｓｍｉｌｅ　東三国教室,532-0002,大阪府大阪市淀川区東三国三丁目１番６号　メゾンサクラ１１期　南棟１０１号室
ファイブスター,532-0002,大阪府大阪市淀川区東三国二丁目３４番４号　コーケンビル７０１
こぱんはうすさくら東三国教室,532-0002,大阪府大阪市淀川区東三国二丁目３１番１７号２Ｆ
ＭＩＫＫＥ　ＨＯＵＳＥ,532-0002,大阪府大阪市淀川区東三国四丁目５番１１号　１・２階
児童発達支援・放課後等デイサービス　フロル　東三国,532-0002,大阪府大阪市淀川区東三国一丁目３３番２０号
きっずでいぽこぽ,532-0002,大阪府大阪市淀川区東三国六丁目１番４１－２０８号
Ｃｒｅｗ,532-0003,大阪府大阪市淀川区宮原一丁目１６番２８－１０４号
児童発達支援・放課後等デイサービス　ＣＯＣＯｎｏＷａ,532-0004,大阪府大阪市淀川区西宮原一丁目６番３６号　新大阪コミュニケーションプラザ１階１０１号室
児童発達支援・放課後等デイサービスフロル三国本町,532-0005,大阪府大阪市淀川区三国本町三丁目２７番３号
児童発達支援・放課後等デイサービスフロル西三国,532-0005,大阪府大阪市淀川区三国本町三丁目２７番３号
個別療育専門フロルｓｔｕｄｙ三国本町教室,532-0005,大阪府大阪市淀川区三国本町二丁目３番２７号
児童発達支援・放課後等デイサービス育三国教室,532-0005,大阪府大阪市淀川区三国本町二丁目１６番１４号
なないろプラネット,532-0005,大阪府大阪市淀川区三国本町三丁目２５番１０号　１０１号室
つぼみ,532-0011,大阪府大阪市淀川区西中島七丁目１番２０号　第１スエヒロビル１０３号
スマートキッズプラス新大阪南,532-0011,大阪府大阪市淀川区西中島六丁目７番１２号　アーバンビル３階
児童発達支援・放課後等デイサービスフロル新大阪,532-0011,大阪府大阪市淀川区西中島三丁目６番１４号
コペルプラス　新大阪教室,532-0011,大阪府大阪市淀川区西中島七丁目１番８号　ウインビル７階
ステラ新大阪校,532-0011,大阪府大阪市淀川区西中島六丁目１１番１６号　ラクラス新大阪１階
ばうむくうへん,532-0011,大阪府大阪市淀川区西中島三丁目５番１２号　新大阪浪速ビル１０１号室
Ｏｖｅｒ　Ｔｈｅ　Ｒａｉｎｂｏｗ,532-0011,大阪府大阪市淀川区西中島七丁目１３番１０号　日産設計ビル１階
ぷらすおん,532-0012,大阪府大阪市淀川区木川東四丁目１４番１０号　パークロッジ１０３号室
星のひかり教室,532-0012,大阪府大阪市淀川区木川東四丁目１７番９号　ライオンズマンション新大阪第６　１０２号
児童デイサービスセンターａｎ,532-0023,大阪府大阪市淀川区十三東一丁目１番６号
ハッピーテラス十三教室,532-0023,大阪府大阪市淀川区十三東四丁目２番１５号　十三アルヴィータビル２０１
ハッピーテラス十三駅前教室,532-0023,大阪府大阪市淀川区十三東三丁目２５番２号　レガーロ十三東駅前ビル１階・２階
ＴＲＥＸ,532-0023,大阪府大阪市淀川区十三東一丁目１７番１３号　水交ビル３０１号室
プレイン十三センター,532-0023,大阪府大阪市淀川区十三東一丁目８番１２－４０１号
児童発達支援・放課後等デイサービスＭａｙＭａｙ,532-0023,大阪府大阪市淀川区十三東一丁目１１番２８号　光第八ビル１階
ＰＰピアニシモ,532-0023,大阪府大阪市淀川区十三東三丁目１７番１２号　翠香園１階
ＹＣＣもこもこ十三教室,532-0024,大阪府大阪市淀川区十三本町一丁目２１番１１号
こどものひだまり,532-0024,大阪府大阪市淀川区十三本町一丁目１６番９号　フレアコート北野２Ｆ
ふぁみてぃー,532-0026,大阪府大阪市淀川区塚本四丁目１１番６号
ｋｉｄｓ　ｆｉｒｓｔ　あいあい,532-0026,大阪府大阪市淀川区塚本二丁目３番１３号　ブエナビスタ１階
コペルプラス　塚本教室,532-0026,大阪府大阪市淀川区塚本二丁目２４番２０号　ティーオーコート塚本４階
ワンスターリウム,532-0026,大阪府大阪市淀川区塚本二丁目１１番６号　ハピネス塚本１階
塚本駅前にこにこツリーハウス,532-0026,大阪府大阪市淀川区塚本二丁目１８番１５号　塚本総合クリニックビル４階
えがおのおへや　十三公園,532-0026,大阪府大阪市淀川区塚本三丁目８番１９号
児童発達支援・放課後等デイサービス　ワンスターロイス,532-0027,大阪府大阪市淀川区田川二丁目３番６号　北野ハイツ１０５
児童発達支援ステラ,532-0028,大阪府大阪市淀川区十三元今里三丁目１番７２号
アートラボ　コドモブロス,532-0028,大阪府大阪市淀川区十三元今里一丁目４番１８号
アトリエ　コドモブロス,532-0028,大阪府大阪市淀川区十三元今里一丁目４番１７号
きっずぷらす,532-0028,大阪府大阪市淀川区十三元今里二丁目７番８号
児童発達支援・放課後等デイサービス　Ｃｈｉｒｏｎ,532-0028,大阪府大阪市淀川区十三元今里二丁目２１番１４号　十三福助ビル１階
リールスメイト加島,532-0031,大阪府大阪市淀川区加島三丁目中２番１６号　ＫＳビル１階
こはるび,532-0031,大阪府大阪市淀川区加島三丁目６番１６号
なちゅらる教室加島,532-0031,大阪府大阪市淀川区加島四丁目５番１０号
児童デイサービスあねらはうす,532-0032,大阪府大阪市淀川区三津屋北一丁目１９番８号１Ｆ
児童発達支援・放課後等デイサービスあるぶる,532-0032,大阪府大阪市淀川区三津屋北二丁目１１番１９号
あっぷるｔｒｅｅ　ｈｏｍｅ　神崎川,532-0032,大阪府大阪市淀川区三津屋北一丁目１番２０号
児童発達支援・放課後等デイサービスフロル　三津屋,532-0032,大阪府大阪市淀川区三津屋北一丁目３４番５号
あるべろ,532-0033,大阪府大阪市淀川区新高五丁目７番２号
児童発達支援・放課後等デイサービスフロル,532-0033,大阪府大阪市淀川区新高二丁目１９番２号
児童発達支援・放課後等デイサービスワンスタープロド,532-0033,大阪府大阪市淀川区新高二丁目１９番１０号　プレアール新高Ⅱ
ハッピーライフ３ぽいんと,532-0034,大阪府大阪市淀川区野中北二丁目１０番１７号
かがや樹,532-0035,大阪府大阪市淀川区三津屋南二丁目１２番８号
キーストーン,532-0036,大阪府大阪市淀川区三津屋中二丁目３番１２号　アドモアコート三津屋中１階
放課後等デイサービスリアン,532-0036,大阪府大阪市淀川区三津屋中一丁目４番２３号
放課後等デイサービス　たいよう,532-0036,大阪府大阪市淀川区三津屋中二丁目５番１６号
リールスメディカル井高野,533-0001,大阪府大阪市東淀川区井高野二丁目７番２８号
放課後等デイサービス　ウィズ・ユー摂津東淀川,533-0002,大阪府大阪市東淀川区北江口四丁目２１番８号
個別サポート支援　あっぷるきっず,533-0002,大阪府大阪市東淀川区北江口二丁目１４番１２号
風の子デイサービス,533-0004,大阪府大阪市東淀川区小松一丁目１５番２７号
いきるちから３,533-0004,大阪府大阪市東淀川区小松四丁目２番２０号　サンサーラ翁１階
いきるちから５,533-0004,大阪府大阪市東淀川区小松一丁目１３番２８号　マンション西１０３号
ＫＩＣＫ　ＳＴＡＲ,533-0004,大阪府大阪市東淀川区小松五丁目６番４１号　サンウエスト１０２号
発達支援ルーム　ピースプラント東淀川２くみ,533-0005,大阪府大阪市東淀川区瑞光四丁目３番２１号　２階
児童発達支援・放課後等デイサービス　ふぁみてぃー東淀川教室,533-0005,大阪府大阪市東淀川区瑞光三丁目４番７号　ワンダーハイツ１階
ひなたぼっこ瑞光事業所,533-0005,大阪府大阪市東淀川区瑞光二丁目１２番２６号　新瑞光ハイツ１階１０３号
いきるちから２,533-0005,大阪府大阪市東淀川区瑞光四丁目１番１８号ー３Ｆ
ポピー,533-0006,大阪府大阪市東淀川区上新庄二丁目１番４０号　２Ｆ
放課後等デイサービス　おひさま,533-0006,大阪府大阪市東淀川区上新庄二丁目１４番１８号
くぬぎ,533-0006,大阪府大阪市東淀川区上新庄三丁目１１番６号　エトワール上新庄１－Ｂ
こどもサポート教室オレンジ,533-0006,大阪府大阪市東淀川区上新庄三丁目１９番４７号　エスポアールⅡ１Ｆ
あゆみん相川,533-0007,大阪府大阪市東淀川区相川二丁目１７番４号　パレス相川１階
ＬＩＢ東淀川,533-0011,大阪府大阪市東淀川区大桐四丁目１番２１号　メゾンガロパンⅠ　１０１号室
放課後等デイサービス　ドルフィン,533-0012,大阪府大阪市東淀川区大道南三丁目６番１５号　ＤＡＮビル１階
リールスメイト豊里,533-0013,大阪府大阪市東淀川区豊里五丁目２１番３号　アローウィング栄光１０１号室
ハッピーライフｔｓｕｎａｇｕ,533-0013,大阪府大阪市東淀川区豊里六丁目１５番３号
放課後等デイサービスはあとくみ,533-0013,大阪府大阪市東淀川区豊里二丁目１番５－１０７号
放課後等デイサービス　にじいろテラス,533-0013,大阪府大阪市東淀川区豊里四丁目５番２１号
ひなたぼっこ　豊里事業所,533-0013,大阪府大阪市東淀川区豊里二丁目１４番２２号
いきるちから４,533-0013,大阪府大阪市東淀川区豊里二丁目７番１８号　豊里コトブキビル３Ａ
あゆみん上新庄,533-0014,大阪府大阪市東淀川区豊新五丁目１番１６号　ピノヴェルデ１Ａ
発達支援ルーム　ピースプラント東淀川,533-0014,大阪府大阪市東淀川区豊新五丁目２０番１６号　２階
グリーン,533-0014,大阪府大阪市東淀川区豊新五丁目６番２号
にじいろテラス豊新,533-0014,大阪府大阪市東淀川区豊新五丁目１０番１４号　植原ユウハイツ１階
かたぐるま　東淀川ｏｎｅ,533-0014,大阪府大阪市東淀川区豊新三丁目５番２７号
放課後デイサービスミライク,533-0014,大阪府大阪市東淀川区豊新三丁目１番２１号
けやき,533-0014,大阪府大阪市東淀川区豊新五丁目１５番３２号　ルミナス若葉１階２号
いきるちから１,533-0015,大阪府大阪市東淀川区大隅一丁目６番５４号　２階
ハッピーライフきたおおさか,533-0021,大阪府大阪市東淀川区下新庄三丁目８番８号
あゆみん下新庄,533-0022,大阪府大阪市東淀川区菅原七丁目６番６号　中屋ハイツ１階
スマイルクラブ,533-0022,大阪府大阪市東淀川区菅原四丁目２番１号　ファースト菅原１Ｆ
まんてん東淀川菅原教室,533-0022,大阪府大阪市東淀川区菅原三丁目４番１６号　ビルディングⅡ菅原１階Ｔ０１号室
児童発達支援・放課後等デイサービス　にじいろチョコ,533-0022,大阪府大阪市東淀川区菅原三丁目１番３号　淡路第２ダイヤモンドハイム１０２
菅原天満うめっこクラブ,533-0022,大阪府大阪市東淀川区菅原二丁目３番２７号
どんぐり,533-0023,大阪府大阪市東淀川区東淡路二丁目７番５号
かたぐるま　東淀川,533-0023,大阪府大阪市東淀川区東淡路一丁目５番５１号
フレンズ淡路,533-0023,大阪府大阪市東淀川区東淡路三丁目１番６号　アビタシオン・カジ１階
ＣＯＣＯＬＯ東淀川,533-0031,大阪府大阪市東淀川区西淡路五丁目１８番６号
ケロケロハウス,533-0031,大阪府大阪市東淀川区西淡路五丁目８番１５号　シャルムビラ土井１０１号
まんてん東淀川西淡路教室,533-0031,大阪府大阪市東淀川区西淡路五丁目１５番１０号　アーバンハイツ西淡路２階
放課後等デイサービス　ウィズ・ユー新大阪淡路,533-0031,大阪府大阪市東淀川区西淡路一丁目１７番１３号　フェニックスビル２階
ＣＯＣＯＬＯはうす淡路,533-0032,大阪府大阪市東淀川区淡路二丁目４番１８号
オレンジ,533-0032,大阪府大阪市東淀川区淡路四丁目１６番１０号　アミル７　１０１号
児童デイサービスさわやか,533-0033,大阪府大阪市東淀川区東中島二丁目１４番１号
ＬＩＴＡＬＩＣＯジュニア新大阪教室,533-0033,大阪府大阪市東淀川区東中島一丁目６番１４号　新大阪第２日大ビル４階
リールスメイト新大阪,533-0033,大阪府大阪市東淀川区東中島一丁目１１番１８号　東中島マンション１階
いんくるーじょん,533-0033,大阪府大阪市東淀川区東中島一丁目１３番４３号　新大阪第一ダイヤモンドマンション１Ｆ
放課後児童デイサービス　Ｃｈａｏ－Ｃｌｕｂ,533-0033,大阪府大阪市東淀川区東中島四丁目２番２４号１階
療育支援スペース　ＳＴＡＲＴ,533-0033,大阪府大阪市東淀川区東中島五丁目２番２６号　第３国本エレガンス新大阪１階号室
ＫＩＤ　ＡＣＡＤＥＭＹ　ＰＥＲＳＯＮＡＬ　新大阪校,533-0033,大阪府大阪市東淀川区東中島一丁目１７番２６号　スキルインフォメーションズビル２Ｆ
ちゃいるどＰＯＰ,537-0001,大阪府大阪市東成区深江北二丁目１番４号　キューブ深江橋ビル２Ｆ
こどもデイサービスさくら深江橋,537-0001,大阪府大阪市東成区深江北二丁目１５番４号　モンテローラ安原１０１
おおきな木深江橋,537-0001,大阪府大阪市東成区深江北二丁目１番４号　キューブ深江橋ビル３階
個別療育支援　ぽるっくす,537-0001,大阪府大阪市東成区深江北一丁目３番１２－２１１号
チャレンジｍｉｎｉ,537-0012,大阪府大阪市東成区大今里二丁目３３番２７号
チャレンジ　ｂｅｓｔ,537-0012,大阪府大阪市東成区大今里四丁目１５番１４号
ユリーカ,537-0012,大阪府大阪市東成区大今里一丁目１番４号
個別療育支援フォーマルハウト,537-0012,大阪府大阪市東成区大今里二丁目６番１８号　昇徳ビル２Ｆ
きりんのあくび　ｋｉｄｓ　いまざと,537-0013,大阪府大阪市東成区大今里南三丁目１３番１３号
児童デイサザンクロス,537-0013,大阪府大阪市東成区大今里南一丁目５番９号　今里大同生命ビル６階
デイサービス　のびのび,537-0013,大阪府大阪市東成区大今里南一丁目１番２３号　フォーラムプレイス今里駅前３０２
こどもたちの窓Ｓｏｌａｎａ（ソラナ：ひだまり）,537-0014,大阪府大阪市東成区大今里西一丁目２４番１９号
うぇるふぇあアカデミー今里,537-0014,大阪府大阪市東成区大今里西一丁目１７番１５号　グランデージ今里１階店舗００２号室
児童発達支援・放課後等デイサービス　ぐっど　大今里,537-0014,大阪府大阪市東成区大今里西三丁目２番１号
Ｃｕｄｄｌｅ　ｕｐ,537-0014,大阪府大阪市東成区大今里西一丁目１番１０号
児童発達支援　スマイル　今里店,537-0014,大阪府大阪市東成区大今里西一丁目１８番５号　スマイルハイツ大今里西１階
なちゅらる,537-0014,大阪府大阪市東成区大今里西三丁目３番２０号
放課後等デイサービスうんどう広場　緑橋,537-0021,大阪府大阪市東成区東中本一丁目１６番１１号　ドミール鷲山１階
児童発達支援・放課後等デイサービス　遊びと学びの森,537-0021,大阪府大阪市東成区東中本三丁目４番９号　ホロン緑橋１０１号
ＷＯＮＤＥＲ　ＦＵＬＬ,537-0021,大阪府大阪市東成区東中本三丁目２番４号　ブランシエール緑橋２　２０１号室
療育ルーム　まるる,537-0021,大阪府大阪市東成区東中本一丁目１４番６－１０２号
ジョイランドＨＯＰ,537-0021,大阪府大阪市東成区東中本三丁目２番４号　ブランシエール緑橋２　２０２号室
ＫＯＲＩＮキッズ　サポートクラブ,537-0021,大阪府大阪市東成区東中本二丁目７番３ー２０３号
ＢＥＡＲ　ＫＩＤＳ　東成１号店,537-0021,大阪府大阪市東成区東中本二丁目１７番１７号
ＢＥＡＲ　ＫＩＤＳ　東成２号店,537-0021,大阪府大阪市東成区東中本三丁目２１番１号　ハイム旭１０２
ぐんぐんＰＯＥ,537-0022,大阪府大阪市東成区中本三丁目１５番１８番　２階
児童発達支援・放課後等デイサービス　どんぐり,537-0022,大阪府大阪市東成区中本一丁目３番１７号　１－Ｂ
Ｌｉｌ’Ｆｕｌ,537-0022,大阪府大阪市東成区中本五丁目１５番１０号　ユニバーサル中本ビルディング２階
こども発達支援ルームＰＬＡＮＥＴ,537-0022,大阪府大阪市東成区中本一丁目４番２０号　ＳｕｎＨｉｌｌｓ森ノ宮２階店舗
こども発達支援ルームＰＬＡＮＥＴ　ｈａｎａｒｅ,537-0022,大阪府大阪市東成区中本一丁目５番９号　ＪＰオフィス大阪ＥＡＳＴ１０１・２０１
クムキッズガーデン,537-0022,大阪府大阪市東成区中本五丁目１４番１４号
児童発達支援・放課後等デイサービス　ソアレ,537-0023,大阪府大阪市東成区玉津二丁目１番２７号　彩貴ビル３階
ＩＬＩＳ　ＣＬＵＢ　玉造,537-0023,大阪府大阪市東成区玉津二丁目１１番２７号　Ｇｉｏｉａ　Ｓｏｌｅ１階
からだ遊びルーム　ｐａｓ　ａ　ｐａｓ,537-0023,大阪府大阪市東成区玉津二丁目１番２７号　彩貴ビル２階
愛児園,537-0023,大阪府大阪市東成区玉津二丁目１０番２２号　ロイヤルハイツ宏和Ⅱ
