事業所名称,事業所郵便番号,事業所所在地
きらめキッズ　大東,574-0024,大阪府大東市泉町一丁目４番11号　メモワール１階
ピアリン,574-0015,大阪府大東市野崎一丁目９番５号　隅田マンション102号・103号
みずふね体操クラブ,574-0034,大阪府大東市朋来一丁目21番23号
Vivid-Life,574-0025,大阪府大東市御供田四丁目４番11号　ロイヤルメゾン千國105号
児童発達支援・放課後等デイサービス　すまいるぱれっと,574-0004,大阪府大東市南楠の里町14番26号　イーストコート101号室
にじいろのおうち,574-0024,大阪府大東市泉町二丁目13番５号
みらくる,574-0793,大阪府大東市平野屋一丁目１番２号フラットカキノキＢ１Ｆ
慶生会ＫＩＤＳプラス大東,574-0015,大阪府大東市野崎一丁目13番４号
universal school CRECIO Jr.住道校,574-0042,大阪府大東市大野一丁目４番25号
放課後等デイサービス　チェスト,574-0076,大阪府大東市曙町２番６号
ビジョントレーニング療育　べすとびじょん,574-00２７,大阪府大東市三住町１番29号シャルム三住
ゴールズスポーツ教室,574-0022,大阪府大東市平野屋一丁目１番２号フラットカキノキ１Ｆ
ふぁみりずむ,574-0014,大阪府大東市寺川二丁目5番22号
ピリナ,574-0011,大阪府大東市北条一丁目７番23号樋口ビル１階
放課後等デイサービス　ななみ,574-0074,大阪府大東市谷川二丁目８番43号
ワンストップスクールＲＩＧＳ大東,574-0034,大阪府大東市朋来二丁目５番35号サンメゾンイースト１Ｆ
放課後等デイサービスリコード,５７４－００７２,大阪府大東市深野三丁目28番３号アクティブ・スクウェア・大東２階201号
放課後等デイサービス　はれ,574-0045,大阪府大東市太子田一丁目１番８号
アステリつくーる,574-0043,大阪府大東市灰塚五丁目１番45号ＢＵＩＬＤよしかわ302号
きらめキッズ大東ねくすと,574-0024,大阪府大東市泉町二丁目10番18号アキツマンション１階１Ｆ号
児童発達支援管理・放課後等デイサービス　ゆあてらす,574-0043,大阪府大東市灰塚五丁目６番４号　２階
わわ,594-0083,大阪府和泉市池上町2丁目5番16号
ゆとりの里,594-1104,大阪府和泉市万町384番地
放課後等デイサービス事業所マザーズ,594-0003,大阪府和泉市太町１５８番地の１３
ぷちとまと,594-0032,大阪府和泉市池田下町1218－１番地
運動療育クラブのあ泉北和泉,594-0042,大阪府和泉市箕形町一丁目２番６号
でぃあはーつ,594-0003,大阪府和泉市太町570番地の９　２階
児童発達支援・放課後等デイサービスにじ,594-0013,大阪府和泉市鶴山台二丁目１番１号棟105
児童デイサービスびりぃぶ,594-1151,大阪府和泉市唐国町二丁目８番58号１階
スイートピー,594-1111,大阪府和泉市光明台三丁目20番４号
児童発達支援・放課後等デイサービスあゆみ,594-0032,大阪府和泉市池田下町2263番地の2
ｗｅｌｆａｒｅ和泉中央,594-0032,大阪府和泉市池田下町173番１メルベーユ和泉中央Ｄ号室
児童発達支援・放課後等デイサービスドレミ,594-0003,大阪府和泉市太町24番地１
フェアリーテイル,594-0076,大阪府和泉市肥子町二丁目５番54号サラスバティ肥子１階Ｄ号
音楽療育おとゆいキッズ,594-1155,大阪府和泉市緑ケ丘一丁目９番８号
スマイル,594-0064,大阪府和泉市寺門町一丁目１番５号
児童発達支援・放課後等デイサービスぴあーちぇ和泉,594-0083,大阪府和泉市池上町三丁目14番81号　池上町３丁目貸店舗５号室
放課後等デイサービスなういずみ,594-0071,大阪府和泉市府中町七丁目２番５号
ここあ,594-0082,大阪府和泉市富秋町一丁目４番43号
運動療育ＦＣのあ泉北和泉,594-0065,大阪府和泉市観音寺町877番１号
療育サポートセンターわおん,594-1111,大阪府和泉市光明台三丁目２番　第101号棟第105号室
児童発達支援・放課後等デイサービスそら,594-0071,大阪府和泉市府中町八丁目４番22号２階
どんぐりの樹,594-0042,大阪府和泉市箕形町四丁目２番35号
ジャンプ,594-0022,大阪府和泉市黒鳥町一丁目18番７号
ちびっこBA-NA,594-0074,大阪府和泉市小田町二丁目１番31号
就労準備型放課後等デイサービス　自由帳　池田下,594-0032,大阪府和泉市池田下町2016－１
放課後等デイサービス　フォース,594-0071,大阪府和泉市府中町四丁目２番15号
スマイルぷらす,594-0073,大阪府和泉市和気町三丁目３番30号
PepABeat,594-0073,大阪府和泉市和気町二丁目3番7号朝日プラザシティ・サザンパーク商業棟１F
ｗｅｌｆａｒｅ唐国,594-1151,大阪府和泉市唐国町二丁目13番７号
はぐハウスⅢ,594-0052,大阪府和泉市阪本町17番1号
アイアムいずみ,594-1156,大阪府和泉市内田町四丁目３番11号
ポップコーン,594-0021,大阪府和泉市山荘町二丁目11番26号
放課後等デイサービス　ウィズ・ユー光明池,594-0031,大阪府和泉市伏屋町五丁目２番14号　ロイヤルビル２Ｆ
放課後等デイサービス　はねるん,５６９－００４１,大阪府和泉市いぶき野三丁目３番２号
リハこどもデイ　ライラック,594-0065,大阪府和泉市観音寺町847番地の２
放課後等デイサービス　クロスファン,594-0013,大阪府和泉市鶴山台二丁目１番　鶴山台団地第４号棟104号室
アウラ,594-0062,大阪府和泉市寺田町一丁目３番48号
放課後等デイサービス　ウィズ・ユー和泉,594-0023,大阪府和泉市伯太町一丁目13番７号　ももちゃんヒルズ和泉１階
児童デイサービス　かえで,594-0032,大阪府和泉市池田下町1883番地の１－101号室
だんらんの家　光明台,594-1111,大阪府和泉市光明台二丁目11番29号
コペルプラス　和泉府中教室,594-0071,大阪府和泉市府中町一丁目12番15号フジナミビル５階
